"Ti","V","Cr","Nb","Hf"
6.109,8.566,15.256,15.438,54.630
7.523,11.438,14.385,11.375,55.279
4.433,8.151,13.000,13.604,60.812
5.116,12.295,11.624,17.719,53.245
5.031,7.636,14.221,15.180,57.932
7.071,8.523,17.395,12.307,54.704
4.195,10.512,15.453,14.537,55.302
6.961,9.171,13.340,12.587,57.941
4.548,8.741,16.470,11.412,58.828
5.809,9.394,15.875,12.084,56.838
5.378,9.619,20.750,18.244,46.009
5.411,10.336,11.534,9.470,63.250
4.919,11.060,14.119,14.386,55.517
5.741,7.215,14.036,14.743,58.265
